sku_code,design_no,stock,category,size,color,sku,style,asin
BL109-L,BL109,23.0,BLOUSE,L,Gold,,,
BL109-M,BL109,37.0,BLOUSE,M,Gold,,,
BL109-S,BL109,34.0,BLOUSE,S,Gold,,,
BL109-XL,BL109,17.0,BLOUSE,XL,Gold,,,
BL109-XS,BL109,15.0,BLOUSE,XS,Gold,,,
BL109-XXL,BL109,9.0,BLOUSE,XXL,Gold,,,
BL110-L,BL110,8.0,BLOUSE,L,Red,,,
BL110-M,BL110,7.0,BLOUSE,M,Red,,,
BL110-S,BL110,18.0,BLOUSE,S,Red,,,
BL110-XL,BL110,8.0,BLOUSE,XL,Red,,,
BL110-XS,BL110,16.0,BLOUSE,XS,Red,,,
BL110-XXL,BL110,5.0,BLOUSE,XXL,Red,,,
BL111-L,BL111,9.0,BLOUSE,L,Black,,,
BL111-M,BL111,6.0,BLOUSE,M,Black,,,
BL111-S,BL111,11.0,BLOUSE,S,Black,,,
BL111-XL,BL111,4.0,BLOUSE,XL,Black,,,
BL111-XS,BL111,13.0,BLOUSE,XS,Black,,,
BL111-XXL,BL111,2.0,BLOUSE,XXL,Black,,,
BL113-L,BL113,4.0,BLOUSE,L,Maroon,,,
BL113-M,BL113,3.0,BLOUSE,M,Maroon,,,
BL113-S,BL113,11.0,BLOUSE,S,Maroon,,,
BL113-XL,BL113,8.0,BLOUSE,XL,Maroon,,,
BL113-XS,BL113,27.0,BLOUSE,XS,Maroon,,,
BL113-XXL,BL113,7.0,BLOUSE,XXL,Maroon,,,
BL0115-S,BL115,2.0,BLOUSE,S,Olive,,,
BTM002-L,BTM002,61.0,PANT,L,White,,,
BTM002-M,BTM002,40.0,PANT,M,White,,,
BTM002-S,BTM002,85.0,PANT,S,White,,,
BTM002-XL,BTM002,22.0,PANT,XL,White,,,
BTM002-XS,BTM002,158.0,PANT,XS,White,,,
BTM002-XXL,BTM002,158.0,PANT,XXL,White,,,
BTM002-XXXL,BTM002,194.0,PANT,XXXL,White,,,
BTM003-L,BTM003,32.0,PANT,L,Maroon,,,
BTM003-M,BTM003,25.0,PANT,M,Maroon,,,
BTM003-S,BTM003,35.0,PANT,S,Maroon,,,
BTM003-XL,BTM003,24.0,PANT,XL,Maroon,,,
BTM003-XS,BTM003,40.0,PANT,XS,Maroon,,,
BTM003-XXL,BTM003,4.0,PANT,XXL,Maroon,,,
BTM003-XXXL,BTM003,4.0,PANT,XXXL,Maroon,,,
BTM004-L,BTM004,1.0,BOTTOM,L,White,,,
BTM004-S,BTM004,2.0,BOTTOM,S,White,,,
BTM004-XL,BTM004,3.0,BOTTOM,XL,White,,,
BTM004-XS,BTM004,0.0,BOTTOM,XS,White,,,
BTM004-XXL,BTM004,2.0,BOTTOM,XXL,White,,,
BTM004-XXXL,BTM004,3.0,BOTTOM,XXXL,White,,,
BTM005-XL,BTM005,75.0,PANT,XL,Black,,,
BTM005-XS,BTM005,88.0,PANT,XS,Black,,,
BTM005-XXL,BTM005,21.0,PANT,XXL,Black,,,
BTM005-XXXL,BTM005,59.0,PANT,XXXL,Black,,,
BTM006-L,BTM006,2.0,BOTTOM,L,Green,,,
BTM006-M,BTM006,2.0,BOTTOM,M,Green,,,
BTM006-S,BTM006,1.0,BOTTOM,S,Green,,,
BTM006-XL,BTM006,3.0,BOTTOM,XL,Green,,,
BTM006-XS,BTM006,3.0,BOTTOM,XS,Green,,,
BTM006-XXL,BTM006,3.0,BOTTOM,XXL,Green,,,
BTM006-XXXL,BTM006,4.0,BOTTOM,XXXL,Green,,,
BTM007-L,BTM007,2.0,BOTTOM,L,Beige,,,
BTM007-M,BTM007,1.0,BOTTOM,M,Beige,,,
BTM007-S,BTM007,2.0,BOTTOM,S,Beige,,,
BTM007-XL,BTM007,3.0,BOTTOM,XL,Beige,,,
BTM007-XS,BTM007,2.0,BOTTOM,XS,Beige,,,
BTM007-XXL,BTM007,2.0,BOTTOM,XXL,Beige,,,
BTM008-L,BTM008,6.0,PANT,L,Grey,,,
BTM008-M,BTM008,1.0,PANT,M,Grey,,,
BTM008-S,BTM008,5.0,PANT,S,Grey,,,
BTM008-XL,BTM008,10.0,PANT,XL,Grey,,,
BTM008-XS,BTM008,21.0,PANT,XS,Grey,,,
BTM008-XXL,BTM008,6.0,PANT,XXL,Grey,,,
BTM008-XXXL,BTM008,15.0,PANT,XXXL,Grey,,,
BTM021-L,BTM021,136.0,PANT,L,Navy Blue,,,
BTM021-M,BTM021,63.0,PANT,M,Navy Blue,,,
BTM021-S,BTM021,134.0,PANT,S,Navy Blue,,,
BTM021-XL,BTM021,176.0,PANT,XL,Navy Blue,,,
BTM021-XS,BTM021,41.0,PANT,XS,Navy Blue,,,
BTM021-XXL,BTM021,92.0,PANT,XXL,Navy Blue,,,
BTM021-XXXL,BTM021,102.0,PANT,XXXL,Navy Blue,,,
BTM026-NP-L,BTM026,1.0,PANT,L,Red,,,
BTM026-NP-M,BTM026,6.0,PANT,M,Red,,,
BTM026-NP-S,BTM026,6.0,PANT,S,Red,,,
BTM026-NP-XL,BTM026,0.0,PANT,XL,Red,,,
BTM026-NP-XS,BTM026,23.0,PANT,XS,Red,,,
BTM026-NP-XXL,BTM026,0.0,PANT,XXL,Red,,,
BTM026-NP-XXXL,BTM026,3.0,PANT,XXXL,Red,,,
BTM027-NP-L,BTM027,14.0,PANT,L,Green,,,
BTM027-NP-M,BTM027,14.0,PANT,M,Green,,,
BTM027-NP-S,BTM027,37.0,PANT,S,Green,,,
BTM027-NP-XL,BTM027,8.0,PANT,XL,Green,,,
BTM027-NP-XS,BTM027,25.0,PANT,XS,Green,,,
BTM027-NP-XXL,BTM027,25.0,PANT,XXL,Green,,,
BTM027-NP-XXXL,BTM027,16.0,PANT,XXXL,Green,,,
BTM029-NP-L,BTM029,2.0,PANT,L,Beige,,,
BTM029-NP-M,BTM029,4.0,PANT,M,Beige,,,
BTM029-NP-S,BTM029,1.0,PANT,S,Beige,,,
BTM029-NP-XL,BTM029,2.0,PANT,XL,Beige,,,
BTM029-NP-XS,BTM029,2.0,PANT,XS,Beige,,,
BTM029-NP-XXL,BTM029,0.0,PANT,XXL,Beige,,,
BTM029-NP-XXXL,BTM029,1.0,PANT,XXXL,Beige,,,
BTM030-NP-L,BTM030,0.0,PANT,L,Dark Green,,,
BTM030-NP-M,BTM030,1.0,PANT,M,Dark Green,,,
BTM030-NP-S,BTM030,8.0,PANT,S,Dark Green,,,
BTM030-NP-XL,BTM030,1.0,PANT,XL,Dark Green,,,
BTM030-NP-XS,BTM030,7.0,PANT,XS,Dark Green,,,
BTM030-NP-XXL,BTM030,1.0,PANT,XXL,Dark Green,,,
BTM030-NP-XXXL,BTM030,5.0,PANT,XXXL,Dark Green,,,
BTM031-NP-L,BTM031,43.0,PANT,L,Brown,,,
BTM031-NP-M,BTM031,6.0,PANT,M,Brown,,,
BTM031-NP-S,BTM031,56.0,PANT,S,Brown,,,
BTM031-NP-XL,BTM031,13.0,PANT,XL,Brown,,,
BTM031-NP-XS,BTM031,20.0,PANT,XS,Brown,,,
BTM031-NP-XXL,BTM031,56.0,PANT,XXL,Brown,,,
BTM031-NP-XXXL,BTM031,50.0,PANT,XXXL,Brown,,,
BTM032-NP-L,BTM032,1.0,PANT,L,Pink,,,
BTM032-NP-M,BTM032,1.0,PANT,M,Pink,,,
BTM032-NP-S,BTM032,2.0,PANT,S,Pink,,,
BTM032-NP-XL,BTM032,1.0,PANT,XL,Pink,,,
BTM032-NP-XS,BTM032,5.0,PANT,XS,Pink,,,
BTM032-NP-XXL,BTM032,3.0,PANT,XXL,Pink,,,
BTM032-NP-XXXL,BTM032,1.0,PANT,XXXL,Pink,,,
BTM033-NP-L,BTM033,0.0,PANT,L,Turquoise Blue,,,
BTM033-NP-M,BTM033,1.0,PANT,M,Turquoise Blue,,,
BTM033-NP-S,BTM033,1.0,PANT,S,Turquoise Blue,,,
BTM033-NP-XL,BTM033,1.0,PANT,XL,Turquoise Blue,,,
BTM033-NP-XS,BTM033,5.0,PANT,XS,Turquoise Blue,,,
BTM033-NP-XXL,BTM033,3.0,PANT,XXL,Turquoise Blue,,,
BTM033-NP-XXXL,BTM033,2.0,PANT,XXXL,Turquoise Blue,,,
BTM035-NP-L,BTM035,0.0,PANT,L,Mustard,,,
BTM035-NP-M,BTM035,0.0,PANT,M,Mustard,,,
BTM035-NP-S,BTM035,4.0,PANT,S,Mustard,,,
BTM035-NP-XL,BTM035,1.0,PANT,XL,Mustard,,,
BTM035-NP-XS,BTM035,12.0,PANT,XS,Mustard,,,
BTM035-NP-XXL,BTM035,3.0,PANT,XXL,Mustard,,,
BTM035-NP-XXXL,BTM035,4.0,PANT,XXXL,Mustard,,,
BTM036-PP-L,BTM036,3.0,PALAZZO,L,Red,,,
BTM036-PP-M,BTM036,10.0,PALAZZO,M,Red,,,
BTM036-PP-S,BTM036,8.0,PALAZZO,S,Red,,,
BTM036-PP-XL,BTM036,6.0,PALAZZO,XL,Red,,,
BTM036-PP-XS,BTM036,33.0,PALAZZO,XS,Red,,,
BTM036-PP-XXL,BTM036,3.0,PALAZZO,XXL,Red,,,
BTM036-PP-XXXL,BTM036,6.0,PALAZZO,XXXL,Red,,,
BTM037-PP-L,BTM037,2.0,PALAZZO,L,Teal,,,
BTM037-PP-M,BTM037,4.0,PALAZZO,M,Teal,,,
BTM037-PP-S,BTM037,7.0,PALAZZO,S,Teal,,,
BTM037-PP-XL,BTM037,3.0,PALAZZO,XL,Teal,,,
BTM037-PP-XS,BTM037,21.0,PALAZZO,XS,Teal,,,
BTM037-PP-XXL,BTM037,3.0,PALAZZO,XXL,Teal,,,
BTM037-PP-XXXL,BTM037,3.0,PALAZZO,XXXL,Teal,,,
BTM038-PP-L,BTM038,3.0,PALAZZO,L,Black,,,
BTM038-PP-M,BTM038,2.0,PALAZZO,M,Black,,,
BTM038-PP-S,BTM038,6.0,PALAZZO,S,Black,,,
BTM038-PP-XL,BTM038,2.0,PALAZZO,XL,Black,,,
BTM038-PP-XS,BTM038,30.0,PALAZZO,XS,Black,,,
BTM038-PP-XXL,BTM038,3.0,PALAZZO,XXL,Black,,,
BTM038-PP-XXXL,BTM038,1.0,PALAZZO,XXXL,Black,,,
BTM039-PP-L,BTM039,2.0,PALAZZO,L,White,,,
BTM039-PP-M,BTM039,2.0,PALAZZO,M,White,,,
BTM039-PP-S,BTM039,4.0,PALAZZO,S,White,,,
BTM039-PP-XL,BTM039,2.0,PALAZZO,XL,White,,,
BTM039-PP-XS,BTM039,11.0,PALAZZO,XS,White,,,
BTM039-PP-XXL,BTM039,2.0,PALAZZO,XXL,White,,,
BTM039-PP-XXXL,BTM039,4.0,PALAZZO,XXXL,White,,,
BTM040-PP-L,BTM040,2.0,PALAZZO,L,Brown,,,
BTM040-PP-M,BTM040,4.0,PALAZZO,M,Brown,,,
BTM040-PP-S,BTM040,36.0,PALAZZO,S,Brown,,,
BTM040-PP-XL,BTM040,3.0,PALAZZO,XL,Brown,,,
BTM040-PP-XS,BTM040,35.0,PALAZZO,XS,Brown,,,
BTM040-PP-XXL,BTM040,4.0,PALAZZO,XXL,Brown,,,
BTM040-PP-XXXL,BTM040,2.0,PALAZZO,XXXL,Brown,,,
BTM041-PP-L,BTM041,6.0,PALAZZO,L,Grey,,,
BTM041-PP-M,BTM041,5.0,PALAZZO,M,Grey,,,
BTM041-PP-S,BTM041,51.0,PALAZZO,S,Grey,,,
BTM041-PP-XL,BTM041,7.0,PALAZZO,XL,Grey,,,
BTM041-PP-XS,BTM041,50.0,PALAZZO,XS,Grey,,,
BTM041-PP-XXL,BTM041,7.0,PALAZZO,XXL,Grey,,,
BTM041-PP-XXXL,BTM041,7.0,PALAZZO,XXXL,Grey,,,
BTM042-PP-L,BTM042,3.0,PALAZZO,L,Mustard,,,
BTM042-PP-M,BTM042,3.0,PALAZZO,M,Mustard,,,
BTM042-PP-S,BTM042,29.0,PALAZZO,S,Mustard,,,
