ship_postal_code,orders_count,customer_segment
227105.0,5,Frequent
490022.0,1,One-time
560074.0,16,Loyal
192124.0,2,Frequent
560040.0,101,Loyal
700128.0,1,One-time
833102.0,7,Loyal
301706.0,1,One-time
629003.0,16,Loyal
497119.0,3,Frequent
412803.0,2,Frequent
208013.0,12,Loyal
362002.0,1,One-time
733143.0,2,Frequent
577130.0,2,Frequent
691014.0,1,One-time
533293.0,4,Frequent
306306.0,1,One-time
759146.0,2,Frequent
671124.0,6,Loyal
143107.0,1,One-time
494776.0,1,One-time
362220.0,3,Frequent
521122.0,1,One-time
221508.0,2,Frequent
505480.0,1,One-time
688528.0,1,One-time
532168.0,4,Frequent
755022.0,1,One-time
365541.0,1,One-time
144701.0,1,One-time
756051.0,1,One-time
743165.0,6,Loyal
515671.0,15,Loyal
517123.0,3,Frequent
641031.0,21,Loyal
502110.0,3,Frequent
676307.0,4,Frequent
673602.0,8,Loyal
671122.0,2,Frequent
440030.0,31,Loyal
843333.0,1,One-time
637001.0,7,Loyal
635814.0,1,One-time
792001.0,6,Loyal
700083.0,3,Frequent
642109.0,4,Frequent
521165.0,7,Loyal
506223.0,1,One-time
271801.0,25,Loyal
305022.0,2,Frequent
343001.0,5,Frequent
508373.0,2,Frequent
574197.0,1,One-time
444801.0,1,One-time
522257.0,1,One-time
451666.0,5,Frequent
841501.0,3,Frequent
637502.0,2,Frequent
580032.0,8,Loyal
852106.0,1,One-time
600110.0,12,Loyal
380054.0,68,Loyal
394115.0,2,Frequent
630307.0,4,Frequent
842003.0,4,Frequent
400608.0,50,Loyal
680509.0,1,One-time
612103.0,2,Frequent
673005.0,15,Loyal
600090.0,25,Loyal
122006.0,59,Loyal
124146.0,1,One-time
452018.0,16,Loyal
591201.0,4,Frequent
583217.0,1,One-time
680551.0,5,Frequent
391135.0,1,One-time
600125.0,81,Loyal
563123.0,1,One-time
689589.0,2,Frequent
845455.0,4,Frequent
382721.0,10,Loyal
403718.0,1,One-time
493114.0,1,One-time
172107.0,3,Frequent
273158.0,1,One-time
600096.0,87,Loyal
396001.0,23,Loyal
225001.0,33,Loyal
688008.0,3,Frequent
229412.0,1,One-time
394105.0,4,Frequent
575016.0,5,Frequent
689583.0,1,One-time
221713.0,2,Frequent
507166.0,4,Frequent
721126.0,10,Loyal
637020.0,1,One-time
606751.0,1,One-time
641663.0,5,Frequent
788119.0,1,One-time
700148.0,8,Loyal
679322.0,13,Loyal
625603.0,1,One-time
686041.0,2,Frequent
121102.0,18,Loyal
481665.0,1,One-time
690107.0,5,Frequent
505504.0,2,Frequent
678593.0,1,One-time
680741.0,4,Frequent
522236.0,4,Frequent
451770.0,1,One-time
415521.0,1,One-time
636030.0,5,Frequent
416103.0,1,One-time
517102.0,11,Loyal
500072.0,445,Loyal
507203.0,4,Frequent
384003.0,2,Frequent
535501.0,6,Loyal
721303.0,1,One-time
781018.0,4,Frequent
507306.0,1,One-time
326512.0,1,One-time
686538.0,2,Frequent
507170.0,2,Frequent
534260.0,12,Loyal
711104.0,28,Loyal
229304.0,1,One-time
205265.0,3,Frequent
400065.0,56,Loyal
591123.0,2,Frequent
251201.0,6,Loyal
741506.0,1,One-time
683110.0,9,Loyal
781346.0,2,Frequent
444902.0,1,One-time
136042.0,2,Frequent
532001.0,28,Loyal
466661.0,1,One-time
464337.0,1,One-time
249193.0,12,Loyal
231312.0,2,Frequent
470775.0,2,Frequent
181201.0,7,Loyal
695313.0,1,One-time
695121.0,9,Loyal
713208.0,1,One-time
521134.0,2,Frequent
627113.0,2,Frequent
743247.0,2,Frequent
312620.0,4,Frequent
683580.0,2,Frequent
768005.0,4,Frequent
800007.0,15,Loyal
246474.0,2,Frequent
695026.0,6,Loyal
326513.0,1,One-time
804424.0,1,One-time
516390.0,11,Loyal
577528.0,2,Frequent
182101.0,16,Loyal
629852.0,2,Frequent
226015.0,14,Loyal
131023.0,5,Frequent
515402.0,2,Frequent
700156.0,128,Loyal
480553.0,2,Frequent
680322.0,1,One-time
247451.0,2,Frequent
523165.0,2,Frequent
571429.0,3,Frequent
285001.0,31,Loyal
416006.0,4,Frequent
110094.0,42,Loyal
122105.0,2,Frequent
211011.0,18,Loyal
413219.0,1,One-time
560067.0,321,Loyal
222131.0,1,One-time
335804.0,1,One-time
781034.0,16,Loyal
313211.0,4,Frequent
577123.0,2,Frequent
722137.0,1,One-time
224147.0,1,One-time
637208.0,1,One-time
764044.0,2,Frequent
485001.0,35,Loyal
682006.0,25,Loyal
627416.0,2,Frequent
225401.0,2,Frequent
560037.0,587,Loyal
575004.0,25,Loyal
501218.0,28,Loyal
533287.0,2,Frequent
341306.0,4,Frequent
770014.0,2,Frequent
241001.0,29,Loyal
174306.0,2,Frequent
201301.0,933,Loyal
574224.0,3,Frequent
500035.0,162,Loyal
768202.0,1,One-time
241301.0,2,Frequent
143534.0,2,Frequent
804408.0,9,Loyal
228001.0,26,Loyal
785702.0,1,One-time
176102.0,10,Loyal
620011.0,5,Frequent
682304.0,12,Loyal
262122.0,1,One-time
