item1,item2,pair_count,item1_count,item2_count,total_count,support,confidence_item1_to_item2,confidence_item2_to_item1,lift
Cotton Kurta,Casual Kurta,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Cotton Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Kurta,Casual Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Shorts,Shorts,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Kurta,Stylish Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Kurta,Cotton Kurta,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Shorts,Shorts,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Stylish Kurta,Casual Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Formal Top,Designer Top,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Cotton Kurta,Summer Dress,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Kurta,Casual Set,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Top,Formal Top,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Designer Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Silk Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Shorts,Jeans,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Shorts,Leggings,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Silk Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Jeans,Shorts,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Leggings,Shorts,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Set,Designer Set,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Formal Set,Formal Set,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Casual Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Formal Set,Stylish Kurta,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Summer Top,Summer Top,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Silk Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Kurta,Cotton Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Set,Designer Set,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Set,Casual Set,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Silk Saree,Silk Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Kurta,Cotton Kurta,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Cotton Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Set,Cotton Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Stylish Kurta,Casual Kurta,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Designer Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Kurta,Stylish Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
