item1,item2,item1_name,item2_name,pair_count
NW012-TP-PJ-XXXL,NW004-TP-PJ-XXXL,Elegant Set,Formal Set,3
JNE3619-KR-XXL,JNE3480-KR-XXL,Stylish Kurta,Cotton Kurta,3
J0118-TP-L,J0119-TP-L,Casual Top,Formal Top,3
JNE3518-KR-L,JNE3739-KR-L,Designer Kurta,Cotton Kurta,3
SET345-KR-NP-S,SET331-KR-NP-S,Designer Set,Elegant Set,3
NW030-TP-PJ-XL,NW012-TP-PJ-XL,Designer Set,Designer Set,3
J0244-SKD-M,SET243-KR-PP-M,Formal Set,Designer Set,3
JNE3721-KR-XXL,JNE3480-KR-XXL,Cotton Kurta,Cotton Kurta,3
SET349-KR-NP-S,SET344-KR-NP-S,Formal Set,Designer Set,3
SET349-KR-NP-S,SET356-KR-NP-S,Formal Set,Formal Set,3
JNE3797-KR-XXL,JNE3799-KR-XXL,Summer Dress,Stylish Kurta,3
PJNE2199-KR-N-5XL,PJNE3399-KR-N-5XL,Cotton Kurta,Cotton Kurta,3
SET356-KR-NP-S,SET344-KR-NP-S,Formal Set,Designer Set,3
SET356-KR-NP-S,SET349-KR-NP-S,Formal Set,Formal Set,3
JNE3797-KR-XXXL,JNE3800-KR-XXXL,Cocktail Dress,Summer Dress,3
JNE3364-KR-1051-A-L,JNE3613-KR-L,Cotton Kurta,Cotton Kurta,3
PJNE2199-KR-N-6XL,PJNE3399-KR-N-6XL,Casual Kurta,Casual Kurta,3
JNE3423-KR-M,JNE3440-KR-N-M,Stylish Kurta,Casual Kurta,3
JNE3798-KR-L,JNE3797-KR-L,Cocktail Dress,Evening Dress,3
J0339-DR-XXXL,J0341-DR-XXXL,Casual Dress,Cocktail Dress,3
PJNE3252-KR-N-6XL,PJNE3399-KR-N-6XL,Casual Kurta,Casual Kurta,3
J0418-TP-L,J0389-TP-L,Casual Top,Casual Top,3
J0340-TP-XS,J0337-TP-XS,Formal Top,Formal Top,3
JNE3798-KR-L,JNE3800-KR-L,Cocktail Dress,Evening Dress,3
J0230-SKD-M,SET110-KR-PP-M,Elegant Set,Designer Set,3
JNE3798-KR-M,JNE3797-KR-M,Summer Dress,Cocktail Dress,3
J0009-SKD-XXL,J0007-SKD-XXL,Elegant Set,Designer Set,3
JNE3798-KR-M,JNE3798-KR-S,Summer Dress,Evening Dress,3
JNE3725-KR-S,JNE3714-KR-S,Designer Kurta,Designer Kurta,3
PJNE3399-KR-N-5XL,PJNE2199-KR-N-5XL,Cotton Kurta,Cotton Kurta,3
JNE3798-KR-S,JNE3798-KR-M,Evening Dress,Summer Dress,3
PJNE3399-KR-N-6XL,PJNE2199-KR-N-6XL,Casual Kurta,Casual Kurta,3
PJNE3399-KR-N-6XL,PJNE3252-KR-N-6XL,Casual Kurta,Casual Kurta,3
JNE3465-KR-S,JNE3437-KR-S,Designer Kurta,Casual Kurta,3
J0184-KR-A-S,JNE3687-TU-S,Stylish Kurta,Summer Top,3
JNE1234-MULTI-KR-032-M,JNE3703-KR-M,Cotton Kurta,Designer Kurta,3
SET110-KR-PP-M,J0230-SKD-M,Designer Set,Elegant Set,3
JNE3798-KR-XXL,JNE3800-KR-XXL,Evening Dress,Casual Dress,3
SET396-KR-PP-S,J0135-SET-S,Casual Set,Designer Set,3
SET397-KR-NP-XXL,J0003-SET-XXL,Casual Set,Designer Set,3
JNE3465-KR-XXXL,JNE3437-KR-XXXL,Casual Kurta,Cotton Kurta,3
J0135-SET-S,SET396-KR-PP-S,Designer Set,Casual Set,3
JNE3799-KR-XXL,JNE3797-KR-XXL,Stylish Kurta,Summer Dress,3
JNE3465-KR-XXXL,JNE3718-KR-XXXL,Casual Kurta,Stylish Kurta,3
SET144-KR-NP-L,JNE3546-KR-L,Elegant Set,Stylish Kurta,3
J0095-SET-M,SET279-LC-S,Designer Set,Elegant Set,3
JNE3800-KR-A-L,JNE3797-KR-A-L,Evening Dress,Evening Dress,3
JNE3739-KR-L,JNE3461-KR-L,Cotton Kurta,Designer Kurta,3
JNE3739-KR-L,JNE3518-KR-L,Cotton Kurta,Designer Kurta,3
J0196-TP-L,J0344-TP-L,Casual Top,Summer Top,3
JNE3373-KR-M,JNE3399-KR-M,Stylish Kurta,Stylish Kurta,3
JNE3543-KR-M,J0003-SET-M,Casual Kurta,Elegant Set,3
SET405-KR-NP-L,SET197-KR-NP-L,Designer Set,Casual Set,3
JNE3800-KR-L,JNE3798-KR-L,Evening Dress,Cocktail Dress,3
SET183-KR-DH-M,SET268-KR-NP-M,Elegant Set,Designer Set,3
JNE3800-KR-L,JNE3801-KR-L,Evening Dress,Casual Kurta,3
JNE3543-KR-M,JNE3787-KR-M,Casual Kurta,Cotton Kurta,3
JNE3800-KR-M,JNE3797-KR-L,Evening Dress,Evening Dress,3
JNE3800-KR-M,JNE3801-KR-M,Evening Dress,Cotton Kurta,3
JNE3800-KR-S,JNE3797-KR-S,Cocktail Dress,Evening Dress,3
SET197-KR-NP-L,SET268-KR-NP-L,Casual Set,Elegant Set,3
JNE3800-KR-XL,JNE3801-KR-XL,Summer Dress,Casual Kurta,3
