sku,style,category,size,asin
J0254-SKD-XS,J0254,Set,XS,B09M6S1SRL
SAR114,SAR114,Saree,Free,B09NDD3F72
J0010-LCD-XS,J0010,Set,XS,B08BJQVTHS
SET186-KR-DH-K-M,SET186,Set,M,B08B4TP9NR
JNE3819-KR-L,JNE3819,kurta,L,B09LTZ2CHY
J0335-DR-L,J0335,Western Dress,L,B09831T4CQ
SET334-KR-NP-XXL,SET334,Set,XXL,B09KXTKBG4
JNE3470-KR-XS,JNE3470,kurta,XS,B08W9G1YSB
JNE3619-KR-XS,JNE3619,kurta,XS,B091Q8BKLW
J0283-SET-XL,J0283,Set,XL,B08QGKHDN3
JNE3440-KR-N-XL,JNE3440,kurta,XL,B081WPK66G
JNE3787-KR-XXL,JNE3787,kurta,XXL,B09RKBXH45
SET282-KR-PP-XXL,SET282,Set,XXL,B09CTF82YW
JNE3691-TU-L,JNE3691,Top,L,B0986VTQL7
JNE3727-KR-XXL,JNE3727,kurta,XXL,B09K3XLB6S
JNE3634-KR-XL,JNE3634,kurta,XL,B097ZZLC2X
JNE3675-TU-L,JNE3675,Top,L,B09432M4NC
JNE2199-KR-411-A-XXL,JNE2199,kurta,XXL,B07BL222Q1
SET184-KR-PP-XXL,SET184,Set,XXL,B08W8KNCDH
JNE3468-KR-L,JNE3468,kurta,L,B08RP69C9N
J0213-TP-L,J0213,Top,L,B0965KR7YJ
BL110-XL,BL110,Blouse,XL,B0929B9QB7
J0008-SKD-XL,J0008,Set,XL,B0894X711G
SET288-KR-NP-XXL,SET288,Set,XXL,B09M6TQTGV
SET110-KR-PP-L,SET110,Set,L,B0822TBFW3
MEN5031-KR-XXXL,MEN5031,kurta,3XL,B08YYT14HH
JNE3421-KR-N-M,JNE3421,kurta,M,B08TRHNH61
SET351-KR-NP-L,SET351,Set,L,B09KXVHNS4
SET337-KR-NP-L,SET337,Set,L,B09KXY99M3
MEN5021-KR-XXL,MEN5021,kurta,XXL,B08YYSWWGK
J0338-DR-L,J0338,Western Dress,L,B09832FGG4
JNE3364-KR-1051-A-L,JNE3364,kurta,L,B07WP5G7MK
JNE2153-KR-278-A-XL,JNE2153,kurta,XL,B0794V95XT
JNE3487-KR-XXL,JNE3487,kurta,XXL,B08RNX8Q22
JNE3865-TP-XXXL,JNE3865,Top,3XL,B09TZSJVFX
SET291-KR-PP-XXXL,SET291,Set,3XL,B099NFZJVC
JNE3704-KR-L,JNE3704,kurta,L,B099FD13MH
J0378-SKD-XXL,J0378,Set,XXL,B09QJ4HMHN
JNE3721-KR-XL,JNE3721,kurta,XL,B099FDMD6T
J0308-DR-XXL,J0308,Western Dress,XXL,B099NTSTM2
SET398-KR-PP-XXL,SET398,Set,XXL,B09RP8WY5J
J0157-DR-S,J0157,Western Dress,S,B0982ZDZ8K
JNE3799-KR-S,JNE3799,kurta,S,B09SDZ78G7
JNE2265-KR-501-S,JNE2265,kurta,S,B07HWXNLNB
JNE3401-KR-M,JNE3401,kurta,M,B082W6ZQSV
SET332-KR-PP-L,SET332,Set,L,B09NQ39KJ6
SET345-KR-NP-XL,SET345,Set,XL,B09KXWW582
JNE1525-KR-UDF19-A-XL,JNE1525,kurta,XL,B0743FF612
J0373-KR-M,J0373,kurta,M,B09KXR4JZB
JNE3449-KR-XXXL,JNE3449,kurta,3XL,B08CBC2J5H
J0006-SET-L,J0006,Ethnic Dress,L,B0894YJNT9
